track_code,race_date,race_number,post_position,entry,distance,surface_code,race_type,claiming_price_category,race_class,purse,trainer_name,trainer_starts,trainer_wins,trainer_places,trainer_shows,jockey_name,jockey_starts,jockey_wins,jockey_places,jockey_shows,owner_name,owner_silks,blank10,blank11,morning_line_odds
CD ,20250426,9,7,,1320,D,N,CUM,RoxelanaL200k,200000,BECKMAN D WHITWORTH,0,0,0,0,CANNON DECLAN,,0,0,0,Orange; blue circled 'RF'; blue 'RF' on sleeves; orange cap,,,7,12.0
CD ,20250426,9,8,,1320,D,N,CUM,RoxelanaL200k,200000,KENNEALLY EDDIE,0,0,0,0,SAEZ LUIS,,0,0,0,Gold; brown diamond belt; brown band on white sleeves; gold cap,,,8,4.0
CD ,20250426,10,1,,1320,D,M,BUN,Md 100000,72000,VANCE THOMAS D,0,0,0,0,LANERIE C J,,0,0,0,Black; black 'ML' on pink star; pink bars on sleeves; black cap,,,1,6.0
CD ,20250426,10,2,,1320,D,M,BUN,Md 100000,72000,BRISSET RODOLPHE,0,0,0,0,SAEZ LUIS,,0,0,0,Forest green; white 'STE'; white bars on sleeves; white 'STE' on forest green cap,,,2,12.0
CD ,20250426,10,3,,1320,D,M,BUN,Md 100000,72000,FOLEY GREG,0,0,0,0,ORTIZ IRAD JR,,0,0,0,Olive; gold 'T' and brown 'O'; gold 'T' and brown 'O' on sleeves; olive cap,,,3,1.4
CD ,20250426,10,4,,1320,D,M,BUN,Md 100000,72000,KING BARRY L,0,0,0,0,LEPAROUX JULIEN R,,0,0,0,White; black 'BK'; white cap,,,4,20.0
CD ,20250426,10,5,,1320,D,M,BUN,Md 100000,72000,STEWART DALLAS,0,0,0,0,HERNANDEZ COLBY J,,0,0,0,White; royal blue hoops; orange bars on sleeves; orange cap,,,5,15.0
CD ,20250426,10,6,,1320,D,M,BUN,Md 100000,72000,GONZALEZ REINA E,0,0,0,0,GUTIERREZ MARIO,,0,0,0,Hunter green; purple cross sashes; black 'RG'; purple cap,,,6,12.0
CD ,20250426,10,7,,1320,D,M,BUN,Md 100000,72000,STEWART DALLAS,0,0,0,0,HERNANDEZ B J JR,,0,0,0,White; green and black star; white 'KC' on green diamond on sleeve; green and black star on white ca,,,7,15.0
CD ,20250426,10,8,,1320,D,M,BUN,Md 100000,72000,MCPEEK KENNETH G,0,0,0,0,ORTIZ JOSE L,,0,0,0,White; light blue circled 'H'; light blue bars on sleeves; white cap,,,8,4.5
CD ,20250426,10,9,,1320,D,M,BUN,Md 100000,72000,CAPPS STEVE A,0,0,0,0,RODRIGUEZ WALTER A,,0,0,0,Red; white diamonds; red cap,,,9,8.0
CD ,20250426,10,10,,1320,D,M,BUN,Md 100000,72000,DRURY THOMAS JR,0,0,0,0,MONCADA IRVING,5.0,0,0,0,Yellow; black diamond framed 'RMK'; yellow cap,,,10,6.0
